variant,effective_update,raw_action_loss,raw_direction_loss,raw_alignment_loss,weighted_direction_loss,weighted_alignment_loss,learning_rate,lambda_a,lambda_b,gradient_norm_before_clip,gradient_clip_scale,direction_supervised_samples_in_update
sa,31,17.21875,13.828125,,4.1484375,,9.290688467444852e-07,0.3,0.0015500000000000002,23.361005783081055,0.04280637611605913,16
sa,32,15.875,13.078125,,3.9234375,,9.590403351467103e-07,0.3,0.0016,21.599931716918945,0.046296442651099355,15
sa,33,15.890625,13.3125,,3.99375,,9.890100045595318e-07,0.3,0.0016500000000000002,21.97235679626465,0.04551173136647783,16
sa,34,17.015625,12.953125,,3.8859375,,1.0189796739723533e-06,0.3,0.0017000000000000001,22.010313034057617,0.04543324751686411,15
sa,35,16.046875,13.625,,4.0874999999999995,,1.0489493433851749e-06,0.3,0.0017500000000000003,22.31083106994629,0.04482127971230286,16
sa,36,15.328125,13.96875,,4.190625,,1.0789208317874e-06,0.3,0.0018,17.942617416381836,0.05573322870313154,16
sa,37,16.3125,13.84375,,4.153125,,1.1088905012002215e-06,0.3,0.00185,21.68283462524414,0.0461194312129169,16
sa,38,16.765625,12.484375,,3.7453125,,1.138860170613043e-06,0.3,0.0019,19.888607025146484,0.05028004217367429,14
sa,39,15.953125,13.171875,,3.9515624999999996,,1.1688298400258645e-06,0.3,0.0019500000000000001,23.16030502319336,0.04317732426229157,15
sa,40,15.921875,12.828125,,3.8484374999999997,,1.198799509438686e-06,0.3,0.002,20.870370864868164,0.047914816965870764,15
sa,41,15.75,12.3125,,3.6937499999999996,,1.2287709978409111e-06,0.3,0.00205,18.11697006225586,0.05519686771925281,14
sa,42,15.796875,11.140625,,3.3421875,,1.2587406672537327e-06,0.3,0.0021000000000000003,21.5794620513916,0.046340358143242624,13
sa,43,15.46875,11.859375,,3.5578125,,1.2887103366665542e-06,0.3,0.00215,19.57234764099121,0.051092491219891116,14
sa,44,16.828125,13.453125,,4.0359375,,1.3186800060793757e-06,0.3,0.0022,26.348651885986328,0.03795260586109361,16
sa,45,16.65625,13.96875,,4.190625,,1.3486514944816008e-06,0.3,0.00225,23.89602279663086,0.04184796811212415,16
sa,46,15.46875,12.375,,3.7125,,1.3786211638944224e-06,0.3,0.0023,20.27254867553711,0.04932778882443628,14
sa,47,14.890625,13.53125,,4.059375,,1.4085908333072439e-06,0.3,0.00235,23.1992130279541,0.04310491044653286,16
sa,48,15.84375,13.875,,4.1625,,1.4385605027200654e-06,0.3,0.0024000000000000002,26.42471694946289,0.03784335710813833,16
sa,49,15.734375,12.8125,,3.84375,,1.468530172132887e-06,0.3,0.0024500000000000004,19.551166534423828,0.05114784318568897,15
sa,50,15.25,12.578125,,3.7734375,,1.498501660535112e-06,0.3,0.0025000000000000005,20.060436248779297,0.049849364570067674,15
sa,51,15.484375,12.59375,,3.7781249999999997,,1.5284713299479336e-06,0.3,0.00255,20.40959358215332,0.04899656604992007,15
sa,52,15.84375,13.53125,,4.059375,,1.558440999360755e-06,0.3,0.0026,22.2432918548584,0.04495737440866151,16
sa,53,15.6875,13.015625,,3.9046874999999996,,1.5884106687735766e-06,0.3,0.00265,22.852550506591797,0.04375879181238659,15
sa,54,16.9375,13.6875,,4.10625,,1.6183803381863981e-06,0.3,0.0027,26.647342681884766,0.03752719405975943,16
sa,55,14.109375,13.03125,,3.909375,,1.6483518265886232e-06,0.3,0.0027500000000000003,18.40084457397461,0.0543453315949616,15
sa,56,15.453125,13.625,,4.0874999999999995,,1.6783214960014448e-06,0.3,0.0028000000000000004,24.704668045043945,0.04047818000131405,16
sa,57,16.640625,13.375,,4.0125,,1.7082911654142663e-06,0.3,0.00285,22.62493896484375,0.04419901426270681,16
sa,58,14.265625,13.0,,3.9,,1.7382608348270878e-06,0.3,0.0029000000000000002,22.276996612548828,0.0448893545836736,15
sa,59,13.953125,11.921875,,3.5765625,,1.768232323229313e-06,0.3,0.00295,18.63212013244629,0.05367075742811378,14
sa,60,14.25,12.875,,3.8625,,1.7982019926421344e-06,0.3,0.003,17.238283157348633,0.05801041732939064,16
sa,61,15.21875,13.171875,,3.9515624999999996,,1.828171662054956e-06,0.3,0.00305,22.102800369262695,0.04524313586031624,16
sa,62,14.609375,13.375,,4.0125,,1.8581413314677775e-06,0.3,0.0031000000000000003,22.043851852416992,0.04536412269030719,16
sa,63,15.109375,11.140625,,3.3421875,,1.888111000880599e-06,0.3,0.00315,21.213787078857422,0.04713915512976197,13
sa,64,15.171875,13.625,,4.0874999999999995,,1.918082489282824e-06,0.3,0.0032,25.15259552001953,0.039757328391977556,16
sa,65,14.609375,13.1875,,3.95625,,1.9480521586956456e-06,0.3,0.0032500000000000003,20.900650024414062,0.04784540188137208,16
